ds,prediction,prediction_lower,prediction_upper,country
2018-02-12,1673.1526370469537,0.0,25353.707447642362,Australia
2018-02-13,1687.7641319739976,0.0,24832.688582853687,Australia
2018-02-14,1661.51007747257,0.0,24342.55183881115,Australia
2018-02-15,1668.6534218749855,0.0,25470.39098123849,Australia
2018-02-16,1679.8521216568115,0.0,26629.902861611827,Australia
2018-02-17,1689.276728960262,0.0,25062.183676768076,Australia
2018-02-18,1717.7528186813643,0.0,24539.903078621355,Australia
2018-02-19,1742.8208938762166,0.0,24844.88482350683,Australia
2018-02-20,1758.2178311870837,0.0,24762.945468903497,Australia
2018-02-21,1730.9329993547274,0.0,24682.225410950778,Australia
2018-02-22,1738.2373135493901,0.0,24875.42420576813,Australia
2018-02-23,1749.5978067429207,0.0,25923.62883229883,Australia
2018-02-24,1758.9611629895,0.0,24765.945641526385,Australia
2018-02-25,1787.9926227046706,0.0,26354.345618371033,Australia
2018-02-26,1813.3598293164962,0.0,27120.24127957663,Australia
2018-02-27,1828.5833622476787,0.0,26093.416570177207,Australia
2018-02-28,1799.4065385294507,0.0,24978.41799509465,Australia
2018-03-01,1806.1422272018133,0.0,25260.504937822643,Australia
2018-03-02,1817.0949310991869,0.0,26193.94633342011,Australia
2018-03-03,1826.0092533034942,0.0,25017.425937206404,Australia
2018-03-04,1855.404467458695,0.0,26272.082268670616,Australia
2018-03-05,1881.0817676031286,0.0,23109.16622022389,Australia
2018-03-06,1896.3436201481989,0.0,25195.6387183386,Australia
2018-03-07,1865.6772810052844,0.0,27285.968210198705,Australia
2018-03-08,1872.4196708115037,0.0,27642.405698986437,Australia
2018-03-09,1883.687565804569,0.0,25947.57109487984,Australia
2018-03-10,1892.9918473016048,0.0,26792.656363771766,Australia
2018-03-11,1923.6688384000129,0.0,27892.213509386995,Australia
2018-03-12,1950.612253547826,0.0,24956.57790567247,Australia
2018-03-13,1966.8628362279844,0.0,24497.129783540597,Australia
2018-03-14,1935.6071464820823,0.0,25325.03571378233,Australia
2018-03-15,1943.1621546847462,0.0,25695.321087977874,Australia
2018-03-16,1955.415012497346,0.0,25267.118425688765,Australia
2018-03-17,1965.6052001348758,0.0,25023.03766505114,Australia
2018-03-18,1997.8536079013327,0.0,26507.0426050224,Australia
2018-03-19,2026.1207183953352,0.0,24930.12144791888,Australia
2018-03-20,2043.1676622640355,0.0,26559.326011206274,Australia
2018-03-21,2010.8712048401433,0.0,25774.292203953137,Australia
2018-03-22,2018.528588455666,0.0,25332.250977618267,Australia
2018-03-23,2030.8076664634655,0.0,25363.749594598263,Australia
2018-03-24,2040.6958470957052,0.0,24205.749000161213,Australia
2018-03-25,2073.127613607539,0.0,27276.641144202207,Australia
2018-03-26,2101.167950792052,0.0,26819.694821703084,Australia
2018-03-27,2117.3438745113785,0.0,25681.449720428827,Australia
2018-03-28,2082.274314362836,0.0,27453.877888300503,Australia
2018-03-29,2088.293696694151,0.0,25643.45638979211,Australia
2018-03-30,2098.9105896384085,0.0,26783.86907433553,Australia
2018-03-31,2106.9220503589686,0.0,25972.59615006677,Australia
2018-04-01,2138.1370926414643,0.0,24836.866782108442,Australia
2018-04-02,2164.7835515003044,0.0,26165.696540300665,Australia
2018-04-03,2179.207960828693,0.0,26710.114498729003,Australia
2018-04-04,2140.8185373555725,0.0,26722.40647794913,Australia
2018-04-05,2145.025691161792,0.0,24815.4877170738,Australia
2018-04-06,2154.2076336770483,0.0,27683.03582053151,Australia
2018-04-07,2160.988822463416,0.0,24062.324866334042,Australia
2018-04-08,2192.058389053063,0.0,25488.41317553856,Australia
2018-04-09,2218.7997810890497,0.0,24206.60119200601,Australia
2018-04-10,2233.3587820172274,0.0,26712.034985088914,Australia
2018-04-11,2193.8996657535763,0.0,26336.29282169816,Australia
2018-04-12,2198.8631826107558,0.0,26510.580546564826,Australia
2018-04-13,2209.4400506409866,0.0,26686.379110486472,Australia
2018-04-14,2218.014794649524,0.0,25413.034327042613,Australia
2018-04-15,2252.0807743392484,0.0,26315.228734909986,Australia
2018-04-16,2282.0945361354075,0.0,26084.133240350195,Australia
2018-04-17,2299.9142043763422,0.0,25669.433011773006,Australia
2018-04-18,2262.371160738652,0.0,26083.468546090146,Australia
2018-04-19,2270.8480261182667,0.0,27247.59859869636,Australia
2018-04-20,2285.262604480331,0.0,24610.921891615166,Australia
2018-04-21,2297.6796571881014,0.0,25809.84514934212,Australia
2018-04-22,2336.3249761819925,0.0,26014.593893806545,Australia
2018-04-23,2370.666744640071,0.0,26876.73623554854,Australia
2018-04-24,2392.226260362843,0.0,25675.245992432534,Australia
2018-04-25,2356.4669326257954,0.0,27165.22844081358,Australia
2018-04-26,2367.693549932408,0.0,27917.737890679466,Australia
2018-04-27,2384.5477653162825,0.0,26088.126877830127,Australia
2018-04-28,2398.78817220893,0.0,26067.357141038723,Australia
2018-04-29,2439.4034990269056,0.0,26777.47232199381,Australia
2018-04-30,2474.9205278354084,0.0,25194.480828068077,Australia
2018-05-01,2496.586259185726,0.0,26917.269732719007,Australia
2018-05-02,2458.572821020543,0.0,28608.19185767504,Australia
2018-05-03,2468.1962952025224,0.0,24645.693644907813,Australia
2018-05-04,2482.921331099941,0.0,26026.969297683405,Australia
2018-05-05,2494.307260757045,0.0,26671.611358610182,Australia
2018-05-06,2532.217527238853,0.0,25648.7879361376,Australia
2018-05-07,2564.3513262203196,0.0,26968.83286994712,Australia
2018-05-08,2581.794052908773,0.0,26674.69884316258,Australia
2018-05-09,2537.535097874225,0.0,25395.046397523245,Australia
2018-05-10,2542.003184843719,0.0,26589.553856143513,Australia
2018-05-11,2551.577428671559,0.0,26630.983744827936,Australia
2018-05-12,2557.696751488225,0.0,26275.803938395482,Australia
2018-05-13,2591.1633802482156,0.0,24798.862222481188,Australia
2018-05-14,2618.8961189856814,0.0,27077.999626376437,Australia
2018-05-15,2631.8478296523,0.0,26968.16301893673,Australia
2018-05-16,2581.835090842386,0.0,25925.12206192662,Australia
2018-05-17,2582.3895983301104,0.0,26499.580317446365,Australia
2018-05-18,2588.7757985615626,0.0,25531.39468828043,Australia
2018-05-19,2592.2642286253113,0.0,25998.225622489656,Australia
2018-05-20,2624.5302292815804,0.0,25970.04822405657,Australia
2018-05-21,2651.63062915981,0.0,28265.1715640137,Australia
2018-05-22,2664.2902877762267,0.0,27692.05116915846,Australia
2018-05-23,2613.046186486025,0.0,27440.788420941793,Australia
2018-05-24,2614.417763741478,0.0,24025.600564907,Australia
2018-05-25,2622.434221616657,0.0,24524.823970621972,Australia
2018-05-26,2628.075097964884,0.0,26530.614392669046,Australia
2018-05-27,2663.7675132638733,0.0,27762.03004798641,Australia
2018-05-28,2694.5897034832747,0.0,26458.551555989303,Australia
2018-05-29,2710.9297498073997,0.0,25688.9528287296,Australia
2018-05-30,2661.947149341367,0.0,27005.366153197036,Australia
2018-05-31,2667.064787773484,0.0,27574.314184850627,Australia
2018-06-01,2679.008288001909,0.0,27098.565833486093,Australia
2018-06-02,2688.4156924652375,0.0,28044.626107789212,Australia
2018-06-03,2728.4347085690893,0.0,26624.58482332607,Australia
2018-06-04,2763.153758990514,0.0,26674.13455890787,Australia
2018-06-05,2782.6333695179387,0.0,24974.501926344426,Australia
2018-06-06,2734.684861981224,0.0,28794.652704998363,Australia
2018-06-07,2741.6830920565635,0.0,27303.093384707754,Australia
2018-06-08,2755.116429605599,0.0,25828.581649565,Australia
2018-06-09,2765.363609865551,0.0,26079.750097049833,Australia
2018-06-10,2806.388555925123,0.0,25381.890903415602,Australia
2018-06-11,2841.3962626069574,0.0,26422.256532327185,Australia
2018-06-12,2860.233651373792,0.0,26649.181781313153,Australia
2018-06-13,2809.4821048618837,0.0,25514.593459143183,Australia
2018-06-14,2814.5875160508185,0.0,25666.02470764698,Australia
2018-06-15,2825.9174391162323,0.0,28791.927417354724,Australia
2018-06-16,2833.7017056955606,0.0,26485.820467349597,Australia
2018-06-17,2872.8216018632506,0.0,26808.232271257442,Australia
2018-06-18,2905.687622182145,0.0,27172.783077115717,Australia
2018-06-19,2922.007186715563,0.0,26489.291934398712,Australia
2018-06-20,2867.188840619027,0.0,25067.781173359363,Australia
2018-06-21,2869.787939256316,0.0,26633.92083907337,Australia
2018-06-22,2879.0698323004644,0.0,26373.244407912785,Australia
2018-06-23,2885.113696251064,0.0,25955.469580524623,Australia
2018-06-24,2923.6961042777134,0.0,26548.559769838306,Australia
2018-06-25,2956.391303508137,0.0,28570.385659855183,Australia
2018-06-26,2972.7070180016203,0.0,27934.04667945112,Australia
2018-06-27,2916.8020872464917,0.0,29589.35745850595,Australia
2018-06-28,2920.2500581978175,0.0,26011.834767553923,Australia
2018-06-29,2931.111104006723,0.0,26617.31966673142,Australia
2018-06-30,2939.2021258460522,0.0,25066.14960684801,Australia
2018-07-01,2981.078037687255,0.0,26966.75415597718,Australia
2018-07-02,3017.3580478240656,0.0,26291.881169248914,Australia
2018-07-03,3037.233098145212,0.0,26131.411070425667,Australia
2018-07-04,2983.500450750953,0.0,26414.50204107807,Australia
2018-07-05,2990.6485500173953,0.0,25104.684045202725,Australia
2018-07-06,3005.4407980304763,0.0,27885.864110589144,Australia
2018-07-07,3017.3546998950746,0.0,28359.249364500953,Australia
2018-07-08,3063.663252006717,0.0,27226.79120268502,Australia
2018-07-09,3103.989073340947,0.0,26791.9781917367,Australia
2018-07-10,3127.1848115596554,0.0,28205.59262217832,Australia
2018-07-11,3074.685410351043,0.0,27152.687704646763,Australia
2018-07-12,3083.9143572834914,0.0,27948.393868217547,Australia
2018-07-13,3100.378819448096,0.0,27466.753594548023,Australia
2018-07-14,3113.276739776568,0.0,25851.793060245487,Australia
2018-07-15,3160.6765932802414,0.0,25856.84023576495,Australia
2018-07-16,3201.297210335617,0.0,28142.282896769306,Australia
2018-07-17,3223.7584523751702,0.0,27083.693216593987,Australia
2018-07-18,3168.248102684872,0.0,26927.047999609524,Australia
2018-07-19,3175.2461320157336,0.0,27014.078726825148,Australia
2018-07-20,3189.127638470162,0.0,27085.599921304925,Australia
2018-07-21,3198.9342283653946,0.0,27054.562397412956,Australia
2018-07-22,3243.648523892413,0.0,28886.80441985662,Australia
2018-07-23,3281.19613073584,0.0,26682.763965740927,Australia
2018-07-24,3300.06329813755,0.0,27022.691140282564,Australia
2018-07-25,3239.2754492389345,0.0,26270.559182359088,Australia
2018-07-26,3242.436912654537,0.0,26656.304479536775,Australia
2018-07-27,3252.83959092213,0.0,28195.092059760747,Australia
2018-07-28,3259.3971087838577,0.0,26748.248224224284,Australia
2018-07-29,3302.0131470035894,0.0,27340.039583043304,Australia
2018-07-30,3337.805261946467,0.0,26995.02393695943,Australia
2018-07-31,3355.089872331487,0.0,27810.31689682516,Australia
2018-08-01,3291.6734085565745,0.0,25675.848382852408,Australia
2018-08-02,3294.209081304254,0.0,27177.78024030238,Australia
2018-08-03,3304.813418309754,0.0,26084.988300513247,Australia
2018-08-04,3312.1658028355314,0.0,27940.589699764187,Australia
2018-08-05,3356.9736919001666,0.0,27591.10502152426,Australia
2018-08-06,3395.4216669236853,0.0,27711.844590458935,Australia
2018-08-07,3415.527335825591,0.0,28006.420745199313,Australia
2018-08-08,3353.748913556965,0.0,26752.5403369944,Australia
2018-08-09,3359.6627057895143,0.0,27842.42395695035,Australia
2018-08-10,3374.0912001175325,0.0,26515.868243216693,Australia
2018-08-11,3385.37145215109,0.0,26140.515334402768,Australia
2018-08-12,3434.920332414977,0.0,26471.901101854248,Australia
2018-08-13,3477.911565282538,0.0,29626.483447243267,Australia
2018-08-14,3502.0048615810542,0.0,27217.621867854832,Australia
2018-08-15,3442.271510023452,0.0,26086.793118574747,Australia
2018-08-16,3451.1938344445075,0.0,26914.208620076108,Australia
2018-08-17,3468.3052987793835,0.0,28871.825193483062,Australia
2018-08-18,3481.627574145989,0.0,28273.757069189087,Australia
2018-08-19,3533.335016726007,0.0,27035.46465305034,Australia
2018-08-20,3577.6582798161116,0.0,27057.78095800149,Australia
2018-08-21,3601.984657122572,0.0,28101.182450039203,Australia
2018-08-22,3540.0992485440242,0.0,28559.256046342092,Australia
2018-08-23,3547.503367156762,0.0,29338.56103330475,Australia
2018-08-24,3562.5633777822113,0.0,26052.84668078735,Australia
2018-08-25,3573.1128848849803,0.0,28537.586838189414,Australia
2018-08-26,3622.212736361497,0.0,26800.973806011727,Australia
2018-08-27,3663.2774653679485,0.0,27243.109406451575,Australia
2018-08-28,3683.543177468346,0.0,26969.578425557815,Australia
2018-08-29,3615.620808818093,0.0,27401.865936966333,Australia
2018-08-30,3618.1302911569715,0.0,27713.517952686656,Australia
2018-08-31,3628.3553172704164,0.0,27324.78071473525,Australia
2018-09-01,3634.0083127744474,0.0,28347.104917289533,Australia
2018-09-02,3679.084166201368,0.0,26616.777051578007,Australia
2018-09-03,3716.2082938085796,0.0,29891.31958445555,Australia
2018-09-04,3732.471489327531,0.0,28133.688258163573,Australia
2018-09-05,3659.295337507929,0.0,27412.384656791804,Australia
2018-09-06,3658.3828381124335,0.0,29156.704715480606,Australia
2018-09-07,3665.880416192772,0.0,29802.631300242327,Australia
2018-09-08,3669.3075658107673,0.0,28812.802391278743,Australia
2018-09-09,3713.506713261251,0.0,28429.734403500548,Australia
2018-09-10,3750.2157461594034,0.0,29555.667408046687,Australia
2018-09-11,3766.2730172353627,0.0,27553.299161396208,Australia
2018-09-12,3691.798352439971,0.0,28131.275922538007,Australia
2018-09-13,3691.4637147350536,0.0,27369.64978712369,Australia
2018-09-14,3700.166065437172,0.0,28556.259110999963,Australia
2018-09-15,3705.1252083707027,0.0,28670.88701818125,Australia
2018-09-16,3751.9331081463883,0.0,27920.28558754466,Australia
2018-09-17,3791.35390884525,0.0,27297.693527279254,Australia
